coin,danmaku,favorite,like,reply,score,share,view,genre
201732.73,32772.62,150745.99,234259.73,7298.07,2934864.08,28498.5,3034011.74,动画
27259.35,6728.75,25755.87,46657.1,1685.83,461655.35,4151.48,715079.43,国创相关
33831.82,40217.71,36610.18,56602.75,3303.8,951322.19,11071.38,1503946.91,娱乐
60830.66,7003.24,57327.54,93482.35,2453.68,1383900.81,14467.98,1232183.64,影视
39783.92,7658.25,27733.08,45553.64,3072.66,473541.21,9853.18,747460.55,数码
27157.94,21521.79,140331.14,52978.18,4893.51,1548857.03,20958.59,1922292.58,时尚
125104.18,15206.41,61725.45,159223.6,3437.15,1834664.48,14784.08,1885220.56,游戏
254333.35,26539.86,140363.02,331434.16,9104.78,3485547.29,58674.35,4036306.76,生活
108479.85,37108.87,114977.67,140406.33,5348.57,1648243.19,26376.9,2017307.16,科技
29435.49,6805.25,49572.24,58600.63,2125.14,756865.29,21528.78,1872406.75,舞蹈
122455.28,22318.98,106346.93,152040.05,6743.03,1731374.74,26663.18,2330309.9,音乐
153880.36,16907.91,111463.24,198692.4,4077.06,1905558.89,52605.07,2989836.68,鬼畜
